id,control_id,securityneedvalue_id
1,2,1
6,2,6
10,2,10
13,3,1
14,3,2
15,3,3
16,3,4
17,3,5
18,3,6
19,3,7
20,3,8
21,3,9
22,3,10
23,3,11
24,3,12
25,4,1
26,4,2
27,4,3
28,4,4
29,4,5
30,4,6
31,4,7
32,4,8
33,4,9
34,4,10
35,4,11
36,4,12
38,5,2
40,5,6
42,5,10
43,2,2
44,2,3
45,2,4
46,2,5
47,2,7
48,2,8
49,2,9
50,2,11
51,2,12
52,5,3
53,5,4
54,5,7
55,5,8
56,5,11
57,5,12
58,6,1
59,6,2
60,6,3
61,6,4
62,6,5
63,6,6
64,6,7
65,6,8
66,6,9
67,6,10
68,6,11
69,6,12
70,7,1
71,7,2
72,7,3
73,7,4
74,7,5
75,7,6
76,7,7
77,7,8
78,7,9
79,7,10
80,7,11
81,7,12
82,8,2
83,8,3
84,8,4
85,8,6
86,8,7
87,8,8
88,9,2
89,9,3
90,9,4
91,9,6
92,9,7
93,9,8
94,10,2
95,10,3
96,10,4
97,10,6
98,10,7
99,10,8
100,11,8
101,11,4
